representation,sample_id,split,label,n_steps,n_features
first_difference,query__piecewise_linear__v0,query,piecewise_linear,127,1
first_difference,query__piecewise_linear__v1,query,piecewise_linear,127,1
first_difference,query__piecewise_linear__v2,query,piecewise_linear,127,1
first_difference,query__first_order_response__v0,query,first_order_response,127,1
first_difference,query__first_order_response__v1,query,first_order_response,127,1
first_difference,query__first_order_response__v2,query,first_order_response,127,1
first_difference,query__second_order_response__v0,query,second_order_response,127,1
first_difference,query__second_order_response__v1,query,second_order_response,127,1
first_difference,query__second_order_response__v2,query,second_order_response,127,1
first_difference,query__regime_change__v0,query,regime_change,127,1
first_difference,query__regime_change__v1,query,regime_change,127,1
first_difference,query__regime_change__v2,query,regime_change,127,1
first_second_difference,gallery__sine__v0,gallery,sine,126,2
first_second_difference,gallery__sine__v1,gallery,sine,126,2
first_second_difference,gallery__sine__v2,gallery,sine,126,2
first_second_difference,gallery__chirp__v0,gallery,chirp,126,2
first_second_difference,gallery__chirp__v1,gallery,chirp,126,2
first_second_difference,gallery__chirp__v2,gallery,chirp,126,2
first_second_difference,gallery__ramp__v0,gallery,ramp,126,2
first_second_difference,gallery__ramp__v1,gallery,ramp,126,2
first_second_difference,gallery__ramp__v2,gallery,ramp,126,2
first_second_difference,gallery__piecewise_linear__v0,gallery,piecewise_linear,126,2
first_second_difference,gallery__piecewise_linear__v1,gallery,piecewise_linear,126,2
first_second_difference,gallery__piecewise_linear__v2,gallery,piecewise_linear,126,2
first_second_difference,gallery__first_order_response__v0,gallery,first_order_response,126,2
first_second_difference,gallery__first_order_response__v1,gallery,first_order_response,126,2
first_second_difference,gallery__first_order_response__v2,gallery,first_order_response,126,2
first_second_difference,gallery__second_order_response__v0,gallery,second_order_response,126,2
first_second_difference,gallery__second_order_response__v1,gallery,second_order_response,126,2
first_second_difference,gallery__second_order_response__v2,gallery,second_order_response,126,2
first_second_difference,gallery__regime_change__v0,gallery,regime_change,126,2
first_second_difference,gallery__regime_change__v1,gallery,regime_change,126,2
first_second_difference,gallery__regime_change__v2,gallery,regime_change,126,2
first_second_difference,query__sine__v0,query,sine,126,2
first_second_difference,query__sine__v1,query,sine,126,2
first_second_difference,query__sine__v2,query,sine,126,2
first_second_difference,query__chirp__v0,query,chirp,126,2
first_second_difference,query__chirp__v1,query,chirp,126,2
first_second_difference,query__chirp__v2,query,chirp,126,2
first_second_difference,query__ramp__v0,query,ramp,126,2
first_second_difference,query__ramp__v1,query,ramp,126,2
first_second_difference,query__ramp__v2,query,ramp,126,2
first_second_difference,query__piecewise_linear__v0,query,piecewise_linear,126,2
first_second_difference,query__piecewise_linear__v1,query,piecewise_linear,126,2
first_second_difference,query__piecewise_linear__v2,query,piecewise_linear,126,2
first_second_difference,query__first_order_response__v0,query,first_order_response,126,2
first_second_difference,query__first_order_response__v1,query,first_order_response,126,2
first_second_difference,query__first_order_response__v2,query,first_order_response,126,2
first_second_difference,query__second_order_response__v0,query,second_order_response,126,2
first_second_difference,query__second_order_response__v1,query,second_order_response,126,2
first_second_difference,query__second_order_response__v2,query,second_order_response,126,2
first_second_difference,query__regime_change__v0,query,regime_change,126,2
first_second_difference,query__regime_change__v1,query,regime_change,126,2
first_second_difference,query__regime_change__v2,query,regime_change,126,2
fixed_linear,gallery__sine__v0,gallery,sine,13,5
fixed_linear,gallery__sine__v1,gallery,sine,13,5
fixed_linear,gallery__sine__v2,gallery,sine,13,5
fixed_linear,gallery__chirp__v0,gallery,chirp,13,5
fixed_linear,gallery__chirp__v1,gallery,chirp,13,5
fixed_linear,gallery__chirp__v2,gallery,chirp,13,5
fixed_linear,gallery__ramp__v0,gallery,ramp,13,5
fixed_linear,gallery__ramp__v1,gallery,ramp,13,5
fixed_linear,gallery__ramp__v2,gallery,ramp,13,5
fixed_linear,gallery__piecewise_linear__v0,gallery,piecewise_linear,13,5
fixed_linear,gallery__piecewise_linear__v1,gallery,piecewise_linear,13,5
fixed_linear,gallery__piecewise_linear__v2,gallery,piecewise_linear,13,5
fixed_linear,gallery__first_order_response__v0,gallery,first_order_response,13,5
fixed_linear,gallery__first_order_response__v1,gallery,first_order_response,13,5
fixed_linear,gallery__first_order_response__v2,gallery,first_order_response,13,5
fixed_linear,gallery__second_order_response__v0,gallery,second_order_response,13,5
fixed_linear,gallery__second_order_response__v1,gallery,second_order_response,13,5
fixed_linear,gallery__second_order_response__v2,gallery,second_order_response,13,5
fixed_linear,gallery__regime_change__v0,gallery,regime_change,13,5
fixed_linear,gallery__regime_change__v1,gallery,regime_change,13,5
fixed_linear,gallery__regime_change__v2,gallery,regime_change,13,5
fixed_linear,query__sine__v0,query,sine,13,5
fixed_linear,query__sine__v1,query,sine,13,5
fixed_linear,query__sine__v2,query,sine,13,5
fixed_linear,query__chirp__v0,query,chirp,13,5
fixed_linear,query__chirp__v1,query,chirp,13,5
fixed_linear,query__chirp__v2,query,chirp,13,5
fixed_linear,query__ramp__v0,query,ramp,13,5
fixed_linear,query__ramp__v1,query,ramp,13,5
fixed_linear,query__ramp__v2,query,ramp,13,5
fixed_linear,query__piecewise_linear__v0,query,piecewise_linear,13,5
fixed_linear,query__piecewise_linear__v1,query,piecewise_linear,13,5
fixed_linear,query__piecewise_linear__v2,query,piecewise_linear,13,5
fixed_linear,query__first_order_response__v0,query,first_order_response,13,5
fixed_linear,query__first_order_response__v1,query,first_order_response,13,5
fixed_linear,query__first_order_response__v2,query,first_order_response,13,5
fixed_linear,query__second_order_response__v0,query,second_order_response,13,5
fixed_linear,query__second_order_response__v1,query,second_order_response,13,5
fixed_linear,query__second_order_response__v2,query,second_order_response,13,5
fixed_linear,query__regime_change__v0,query,regime_change,13,5
fixed_linear,query__regime_change__v1,query,regime_change,13,5
fixed_linear,query__regime_change__v2,query,regime_change,13,5
vectorchain__dt-dy,gallery__sine__v0,gallery,sine,34,2
vectorchain__dt-dy,gallery__sine__v1,gallery,sine,46,2
vectorchain__dt-dy,gallery__sine__v2,gallery,sine,43,2
vectorchain__dt-dy,gallery__chirp__v0,gallery,chirp,50,2
vectorchain__dt-dy,gallery__chirp__v1,gallery,chirp,64,2
vectorchain__dt-dy,gallery__chirp__v2,gallery,chirp,65,2
vectorchain__dt-dy,gallery__ramp__v0,gallery,ramp,17,2
vectorchain__dt-dy,gallery__ramp__v1,gallery,ramp,57,2
vectorchain__dt-dy,gallery__ramp__v2,gallery,ramp,19,2
vectorchain__dt-dy,gallery__piecewise_linear__v0,gallery,piecewise_linear,14,2
vectorchain__dt-dy,gallery__piecewise_linear__v1,gallery,piecewise_linear,52,2
vectorchain__dt-dy,gallery__piecewise_linear__v2,gallery,piecewise_linear,29,2
vectorchain__dt-dy,gallery__first_order_response__v0,gallery,first_order_response,10,2
vectorchain__dt-dy,gallery__first_order_response__v1,gallery,first_order_response,43,2
vectorchain__dt-dy,gallery__first_order_response__v2,gallery,first_order_response,28,2
vectorchain__dt-dy,gallery__second_order_response__v0,gallery,second_order_response,27,2
vectorchain__dt-dy,gallery__second_order_response__v1,gallery,second_order_response,44,2
vectorchain__dt-dy,gallery__second_order_response__v2,gallery,second_order_response,30,2
vectorchain__dt-dy,gallery__regime_change__v0,gallery,regime_change,61,2
vectorchain__dt-dy,gallery__regime_change__v1,gallery,regime_change,70,2
vectorchain__dt-dy,gallery__regime_change__v2,gallery,regime_change,65,2
vectorchain__dt-dy,query__sine__v0,query,sine,37,2
vectorchain__dt-dy,query__sine__v1,query,sine,55,2
vectorchain__dt-dy,query__sine__v2,query,sine,42,2
vectorchain__dt-dy,query__chirp__v0,query,chirp,51,2
vectorchain__dt-dy,query__chirp__v1,query,chirp,67,2
vectorchain__dt-dy,query__chirp__v2,query,chirp,68,2
vectorchain__dt-dy,query__ramp__v0,query,ramp,37,2
vectorchain__dt-dy,query__ramp__v1,query,ramp,68,2
vectorchain__dt-dy,query__ramp__v2,query,ramp,13,2
vectorchain__dt-dy,query__piecewise_linear__v0,query,piecewise_linear,25,2
vectorchain__dt-dy,query__piecewise_linear__v1,query,piecewise_linear,62,2
vectorchain__dt-dy,query__piecewise_linear__v2,query,piecewise_linear,15,2
vectorchain__dt-dy,query__first_order_response__v0,query,first_order_response,24,2
vectorchain__dt-dy,query__first_order_response__v1,query,first_order_response,56,2
vectorchain__dt-dy,query__first_order_response__v2,query,first_order_response,13,2
vectorchain__dt-dy,query__second_order_response__v0,query,second_order_response,38,2
vectorchain__dt-dy,query__second_order_response__v1,query,second_order_response,64,2
vectorchain__dt-dy,query__second_order_response__v2,query,second_order_response,22,2
vectorchain__dt-dy,query__regime_change__v0,query,regime_change,62,2
vectorchain__dt-dy,query__regime_change__v1,query,regime_change,83,2
vectorchain__dt-dy,query__regime_change__v2,query,regime_change,67,2
vectorchain__dt-dy-theta,gallery__sine__v0,gallery,sine,34,3
vectorchain__dt-dy-theta,gallery__sine__v1,gallery,sine,46,3
vectorchain__dt-dy-theta,gallery__sine__v2,gallery,sine,43,3
vectorchain__dt-dy-theta,gallery__chirp__v0,gallery,chirp,50,3
vectorchain__dt-dy-theta,gallery__chirp__v1,gallery,chirp,64,3
vectorchain__dt-dy-theta,gallery__chirp__v2,gallery,chirp,65,3
vectorchain__dt-dy-theta,gallery__ramp__v0,gallery,ramp,17,3
vectorchain__dt-dy-theta,gallery__ramp__v1,gallery,ramp,57,3
vectorchain__dt-dy-theta,gallery__ramp__v2,gallery,ramp,19,3
vectorchain__dt-dy-theta,gallery__piecewise_linear__v0,gallery,piecewise_linear,14,3
vectorchain__dt-dy-theta,gallery__piecewise_linear__v1,gallery,piecewise_linear,52,3
vectorchain__dt-dy-theta,gallery__piecewise_linear__v2,gallery,piecewise_linear,29,3
vectorchain__dt-dy-theta,gallery__first_order_response__v0,gallery,first_order_response,10,3
vectorchain__dt-dy-theta,gallery__first_order_response__v1,gallery,first_order_response,43,3
vectorchain__dt-dy-theta,gallery__first_order_response__v2,gallery,first_order_response,28,3
vectorchain__dt-dy-theta,gallery__second_order_response__v0,gallery,second_order_response,27,3
vectorchain__dt-dy-theta,gallery__second_order_response__v1,gallery,second_order_response,44,3
vectorchain__dt-dy-theta,gallery__second_order_response__v2,gallery,second_order_response,30,3
vectorchain__dt-dy-theta,gallery__regime_change__v0,gallery,regime_change,61,3
vectorchain__dt-dy-theta,gallery__regime_change__v1,gallery,regime_change,70,3
vectorchain__dt-dy-theta,gallery__regime_change__v2,gallery,regime_change,65,3
vectorchain__dt-dy-theta,query__sine__v0,query,sine,37,3
vectorchain__dt-dy-theta,query__sine__v1,query,sine,55,3
vectorchain__dt-dy-theta,query__sine__v2,query,sine,42,3
vectorchain__dt-dy-theta,query__chirp__v0,query,chirp,51,3
vectorchain__dt-dy-theta,query__chirp__v1,query,chirp,67,3
vectorchain__dt-dy-theta,query__chirp__v2,query,chirp,68,3
vectorchain__dt-dy-theta,query__ramp__v0,query,ramp,37,3
vectorchain__dt-dy-theta,query__ramp__v1,query,ramp,68,3
vectorchain__dt-dy-theta,query__ramp__v2,query,ramp,13,3
vectorchain__dt-dy-theta,query__piecewise_linear__v0,query,piecewise_linear,25,3
vectorchain__dt-dy-theta,query__piecewise_linear__v1,query,piecewise_linear,62,3
vectorchain__dt-dy-theta,query__piecewise_linear__v2,query,piecewise_linear,15,3
vectorchain__dt-dy-theta,query__first_order_response__v0,query,first_order_response,24,3
vectorchain__dt-dy-theta,query__first_order_response__v1,query,first_order_response,56,3
vectorchain__dt-dy-theta,query__first_order_response__v2,query,first_order_response,13,3
vectorchain__dt-dy-theta,query__second_order_response__v0,query,second_order_response,38,3
vectorchain__dt-dy-theta,query__second_order_response__v1,query,second_order_response,64,3
vectorchain__dt-dy-theta,query__second_order_response__v2,query,second_order_response,22,3
vectorchain__dt-dy-theta,query__regime_change__v0,query,regime_change,62,3
vectorchain__dt-dy-theta,query__regime_change__v1,query,regime_change,83,3
vectorchain__dt-dy-theta,query__regime_change__v2,query,regime_change,67,3
vectorchain__dt-dy-theta-r,gallery__sine__v0,gallery,sine,34,4
vectorchain__dt-dy-theta-r,gallery__sine__v1,gallery,sine,46,4
vectorchain__dt-dy-theta-r,gallery__sine__v2,gallery,sine,43,4
vectorchain__dt-dy-theta-r,gallery__chirp__v0,gallery,chirp,50,4
vectorchain__dt-dy-theta-r,gallery__chirp__v1,gallery,chirp,64,4
vectorchain__dt-dy-theta-r,gallery__chirp__v2,gallery,chirp,65,4
vectorchain__dt-dy-theta-r,gallery__ramp__v0,gallery,ramp,17,4
vectorchain__dt-dy-theta-r,gallery__ramp__v1,gallery,ramp,57,4
vectorchain__dt-dy-theta-r,gallery__ramp__v2,gallery,ramp,19,4
vectorchain__dt-dy-theta-r,gallery__piecewise_linear__v0,gallery,piecewise_linear,14,4
vectorchain__dt-dy-theta-r,gallery__piecewise_linear__v1,gallery,piecewise_linear,52,4
vectorchain__dt-dy-theta-r,gallery__piecewise_linear__v2,gallery,piecewise_linear,29,4
vectorchain__dt-dy-theta-r,gallery__first_order_response__v0,gallery,first_order_response,10,4
vectorchain__dt-dy-theta-r,gallery__first_order_response__v1,gallery,first_order_response,43,4
vectorchain__dt-dy-theta-r,gallery__first_order_response__v2,gallery,first_order_response,28,4
vectorchain__dt-dy-theta-r,gallery__second_order_response__v0,gallery,second_order_response,27,4
vectorchain__dt-dy-theta-r,gallery__second_order_response__v1,gallery,second_order_response,44,4
vectorchain__dt-dy-theta-r,gallery__second_order_response__v2,gallery,second_order_response,30,4
vectorchain__dt-dy-theta-r,gallery__regime_change__v0,gallery,regime_change,61,4
vectorchain__dt-dy-theta-r,gallery__regime_change__v1,gallery,regime_change,70,4
vectorchain__dt-dy-theta-r,gallery__regime_change__v2,gallery,regime_change,65,4
vectorchain__dt-dy-theta-r,query__sine__v0,query,sine,37,4
vectorchain__dt-dy-theta-r,query__sine__v1,query,sine,55,4
vectorchain__dt-dy-theta-r,query__sine__v2,query,sine,42,4
vectorchain__dt-dy-theta-r,query__chirp__v0,query,chirp,51,4
vectorchain__dt-dy-theta-r,query__chirp__v1,query,chirp,67,4
vectorchain__dt-dy-theta-r,query__chirp__v2,query,chirp,68,4
vectorchain__dt-dy-theta-r,query__ramp__v0,query,ramp,37,4
vectorchain__dt-dy-theta-r,query__ramp__v1,query,ramp,68,4
vectorchain__dt-dy-theta-r,query__ramp__v2,query,ramp,13,4
vectorchain__dt-dy-theta-r,query__piecewise_linear__v0,query,piecewise_linear,25,4
vectorchain__dt-dy-theta-r,query__piecewise_linear__v1,query,piecewise_linear,62,4
vectorchain__dt-dy-theta-r,query__piecewise_linear__v2,query,piecewise_linear,15,4
vectorchain__dt-dy-theta-r,query__first_order_response__v0,query,first_order_response,24,4
vectorchain__dt-dy-theta-r,query__first_order_response__v1,query,first_order_response,56,4
vectorchain__dt-dy-theta-r,query__first_order_response__v2,query,first_order_response,13,4
vectorchain__dt-dy-theta-r,query__second_order_response__v0,query,second_order_response,38,4
vectorchain__dt-dy-theta-r,query__second_order_response__v1,query,second_order_response,64,4
vectorchain__dt-dy-theta-r,query__second_order_response__v2,query,second_order_response,22,4
vectorchain__dt-dy-theta-r,query__regime_change__v0,query,regime_change,62,4
vectorchain__dt-dy-theta-r,query__regime_change__v1,query,regime_change,83,4
vectorchain__dt-dy-theta-r,query__regime_change__v2,query,regime_change,67,4
vectorchain__dt-dy-theta-r-delta_theta,gallery__sine__v0,gallery,sine,34,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__sine__v1,gallery,sine,46,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__sine__v2,gallery,sine,43,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__chirp__v0,gallery,chirp,50,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__chirp__v1,gallery,chirp,64,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__chirp__v2,gallery,chirp,65,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__ramp__v0,gallery,ramp,17,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__ramp__v1,gallery,ramp,57,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__ramp__v2,gallery,ramp,19,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__piecewise_linear__v0,gallery,piecewise_linear,14,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__piecewise_linear__v1,gallery,piecewise_linear,52,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__piecewise_linear__v2,gallery,piecewise_linear,29,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__first_order_response__v0,gallery,first_order_response,10,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__first_order_response__v1,gallery,first_order_response,43,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__first_order_response__v2,gallery,first_order_response,28,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__second_order_response__v0,gallery,second_order_response,27,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__second_order_response__v1,gallery,second_order_response,44,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__second_order_response__v2,gallery,second_order_response,30,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__regime_change__v0,gallery,regime_change,61,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__regime_change__v1,gallery,regime_change,70,5
vectorchain__dt-dy-theta-r-delta_theta,gallery__regime_change__v2,gallery,regime_change,65,5
vectorchain__dt-dy-theta-r-delta_theta,query__sine__v0,query,sine,37,5
vectorchain__dt-dy-theta-r-delta_theta,query__sine__v1,query,sine,55,5
vectorchain__dt-dy-theta-r-delta_theta,query__sine__v2,query,sine,42,5
vectorchain__dt-dy-theta-r-delta_theta,query__chirp__v0,query,chirp,51,5
vectorchain__dt-dy-theta-r-delta_theta,query__chirp__v1,query,chirp,67,5
vectorchain__dt-dy-theta-r-delta_theta,query__chirp__v2,query,chirp,68,5
vectorchain__dt-dy-theta-r-delta_theta,query__ramp__v0,query,ramp,37,5
vectorchain__dt-dy-theta-r-delta_theta,query__ramp__v1,query,ramp,68,5
vectorchain__dt-dy-theta-r-delta_theta,query__ramp__v2,query,ramp,13,5
vectorchain__dt-dy-theta-r-delta_theta,query__piecewise_linear__v0,query,piecewise_linear,25,5
vectorchain__dt-dy-theta-r-delta_theta,query__piecewise_linear__v1,query,piecewise_linear,62,5
vectorchain__dt-dy-theta-r-delta_theta,query__piecewise_linear__v2,query,piecewise_linear,15,5
vectorchain__dt-dy-theta-r-delta_theta,query__first_order_response__v0,query,first_order_response,24,5
vectorchain__dt-dy-theta-r-delta_theta,query__first_order_response__v1,query,first_order_response,56,5
vectorchain__dt-dy-theta-r-delta_theta,query__first_order_response__v2,query,first_order_response,13,5
vectorchain__dt-dy-theta-r-delta_theta,query__second_order_response__v0,query,second_order_response,38,5
vectorchain__dt-dy-theta-r-delta_theta,query__second_order_response__v1,query,second_order_response,64,5
vectorchain__dt-dy-theta-r-delta_theta,query__second_order_response__v2,query,second_order_response,22,5
vectorchain__dt-dy-theta-r-delta_theta,query__regime_change__v0,query,regime_change,62,5
vectorchain__dt-dy-theta-r-delta_theta,query__regime_change__v1,query,regime_change,83,5
vectorchain__dt-dy-theta-r-delta_theta,query__regime_change__v2,query,regime_change,67,5
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__sine__v0,gallery,sine,34,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__sine__v1,gallery,sine,46,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__sine__v2,gallery,sine,43,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__chirp__v0,gallery,chirp,50,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__chirp__v1,gallery,chirp,64,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__chirp__v2,gallery,chirp,65,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__ramp__v0,gallery,ramp,17,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__ramp__v1,gallery,ramp,57,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__ramp__v2,gallery,ramp,19,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__piecewise_linear__v0,gallery,piecewise_linear,14,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__piecewise_linear__v1,gallery,piecewise_linear,52,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__piecewise_linear__v2,gallery,piecewise_linear,29,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__first_order_response__v0,gallery,first_order_response,10,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__first_order_response__v1,gallery,first_order_response,43,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__first_order_response__v2,gallery,first_order_response,28,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__second_order_response__v0,gallery,second_order_response,27,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__second_order_response__v1,gallery,second_order_response,44,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__second_order_response__v2,gallery,second_order_response,30,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__regime_change__v0,gallery,regime_change,61,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__regime_change__v1,gallery,regime_change,70,6
vectorchain__dt-dy-theta-r-delta_theta-delta_r,gallery__regime_change__v2,gallery,regime_change,65,6
